order,age_group,func_EF_flex_one,func,ES_group,adult_ES_group,children_ES_group,study,year,task,speed_acc,speed_acc_matched,condition,measure,more_info,blank_1,PKU_mean,PKU_sd,PKU_N,current_phe_mean,current_phe_sd,blank_2,control_mean,control_sd,control_N,blank_3,cohens_d,blank_4,reverse,input_glass_delta,input_glass_delta_sd,include,blank_5,pku_age_mean,pku_age_sd,blank_6,control_age_mean,control_age_sd,diet_start_age1,diet_start_age2,diet_ends,diet_start_age3
28,Adults,EF-Flexibility,EF-Flexibility-other,ES_medium,ES_medium,ES_small,Christ et al 2023,2023,Oral Symbol Digit,speed,NA,processing speed - T-score,NA,NIH Toolbox Cognitive Battery,This is an additional measure of processing speed in which participants orally report digits that correspond to a series of symbols via a provided symbol-digit key.,52,8.4,40,589,444,NA,54,5.2,32,NA,NA,NA,-1,-0.380479735,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Adults,EF-Flexibility,EF-Flexibility-other,ES_medium,ES_medium,ES_small,Pilotto et al 2021,2021,TMT–B,speed,NA,Trail making B -Time (sec.),NA,NA,NA,70,25.63,19,890,NA,NA,41,11,25,NA,-1.470455802,NA,1,-2.589003811,NA,1,NA,NA,NA,NA,NA,NA,2,NA,cont treat,Within 1 month
30,Adults,EF-Flexibility,EF-Flexibility-other,ES_medium,ES_medium,ES_small,Romani et al 2020,2020,TMT–B,speed,NA,Trail making B -Time (sec.),NA,difference scores are available,NA,79.8,34,19,1042,NA,NA,54.4,19.7,19,NA,-0.914139361,NA,1,-1.262291008,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
33,Adults,EF-Flexibility,EF-Flexibility-other,ES_medium,ES_medium,ES_small,Palermo et al 2017/2020; De Felice et al 2018,2017,TMT-difference,speed,NA,Trail making - Difference B-A time (sec.),NA,raw scores not reported,NA,19,10.8,37,720,NA,NA,20.7,13.3,30,NA,0.140325847,NA,1,0.126339014,0.01051725,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
177,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_small,ES_small,ES_large,Palermo et al 2017/2020; De Felice et al 2018,2018,Block Cyclic Naming,speed,NA,Block Cyclic Naming Semantic Interference -  4th cycle-1st cycle - RT,NA,NA,NA,85.9,16.7,15,751.2,NA,NA,75.7,19.2,24,NA,-0.566872283,NA,1,-0.520408163,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
185,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_small,ES_small,ES_large,Muri et al 2022,2022,Colour-word interference test condition 3 (inhibition?),speed,NA,Scale scores (time),NA,Time (higher = better),Delis‚Äì Kaplan Executive Function System (D-KEFS),10,2.5,30,741,265.1851852,IQR=358,11,3.8,54,54,0.19,NA,-1,-0.260743602,NA,1,NA,10.75,12.1,NA,13.1,3.2,NA,NA,NA,NA
188,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_small,ES_small,ES_large,Muri et al 2022,2022,Colour-word interference test condition 4 (inhibition/switching),speed,NA,Scale scores (interference),NA,Time (higher=btter),Delis‚Äì Kaplan Executive Function System (D-KEFS),10,2,30,741,265.1851852,IQR=358,12,3,54,54,0.44,NA,-1,-0.660550459,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_small,ES_small,ES_large,Palermo et al 2017/2020; De Felice et al 2018,2017,Continuous Naming-5th-1st pos,speed,speed,Naming Semantic Interference Task - Difference position 5-1 - RT,NA,NA,NA,173,94.6,37,720,NA,NA,145,62.9,30,NA,-0.348565527,NA,1,-0.439994844,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
173,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_small,ES_small,ES_large,Channon et al 2005,2005,Flanker task-INTERFERENCE,speed,speed,Incompatible trials - Speed per item (sec.),NA,NA,NA,0.47,0.05,25,758.79,NA,NA,0.44,0.05,25,NA,NA,NA,1,-0.590575916,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_small,ES_small,ES_large,Channon et al 2007 off diet,2007,Flanker task-INTERFERENCE,speed,speed,Incompatible trials - Speed per item (sec.),NA,NA,NA,0.52,0.08,25,1286.68,NA,NA,0.46,0.06,45,NA,NA,NA,1,-0.988929889,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_small,ES_small,ES_large,Sundermann et al 2020,2020,Go-No-Go,speed,speed,corr RT,NA,NA,NA,471.1,44.975,16,926.2,NA,NA,448.58,72.66,17,NA,-0.372696867,NA,1,-0.30237726,NA,1,-0.537257467,NA,NA,NA,NA,NA,4,within 3 months,--,within 3 months
184,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_small,ES_small,ES_large,Moyle et al 2006,2007,Go-No-Go,speed,speed,RT (only no go),NA,NA,NA,316,35.55555556,9,1000,775.35,NA,284,15.55555556,9,NA,-1.166077915,NA,1,-1.959183673,NA,1,NA,NA,NA,NA,NA,NA,--,NA,cont treat,Early treated
171,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_small,ES_small,ES_large,Channon et al 2004,2004,Hayling Sentence Completion B-accuracy,speed,NA,Hayling Sentence Completion Test B  - Correct completions per sec.,NA,NA,NA,0.57,0.32,20,858.5,NA,NA,0.75,0.53,20,NA,0.411166851,NA,-1,-0.332875172,NA,1,NA,NA,NA,NA,NA,NA,2,Within 1 month,cont treat,Within 1 month
179,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_small,ES_small,ES_large,Palermo et al 2017/2020; De Felice et al 2018,2018,Hayling Sentence Completion B-Time,speed,speed,Hayling Sentence Completion Test Part 2 - Time (sec.),NA,NA,NA,48,37.1,22,751.2,NA,NA,29.6,17,25,25,NA,-0.637635131,1,-1.064212948,1.132549198,1,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat
197,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_small,ES_small,ES_large,Sundermann et al 2011-Gr1,2011,Stroop DIFFERENCE,speed,NA,Placebo 1st session - difference neutral-incongruent RT,"Subjects were instructed to decide via push button whether the color of the top row letters were writtn in the same color of  the color name written in the bottom row.  In the neutral condtion the top row consisted of a series of XXXX 
and the bottom row of a word spelling a color name in white.  In the congruent condition; the bottom word was written in a consistent colour; in the incongruent condition in an incosistent colour",NA,NA,167.6,81.3,9,1140,310,NA,157.2,80.9,15,NA,-0.128236355,NA,1,-0.124120881,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,till  adolescence,Soon after birth
198,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_small,ES_small,ES_large,Sundermann et al 2011-Gr1,2011,Stroop DIFFERENCE,speed,NA,Placebo 2nd session - difference neutral-incongruent RT,"Subjects were instructed to decide via push button whether the color of the top row letters were writtn in the same color of  the color name written in the bottom row.  In the neutral condtion the top row consisted of a series of XXXX 
and the bottom row of a word spelling a color name in white.  In the congruent condition; the bottom word was written in a consistent colour; in the incongruent condition in an incosistent colour",NA,NA,121.5,64,9,1210,320,NA,124.1,98.6,15,NA,3.13E-02,NA,1,2.55E-02,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,till  adolescence,Soon after birth
192,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_small,ES_small,ES_large,Palermo et al 2017/2020; De Felice et al 2018,2017,Stroop DIFFERENCE-speed,speed,NA,Difference incongruous-congruous- RT,NA,NA,NA,111.3,86.7,37,720,NA,NA,94.3,51.9,30,NA,-0.237925184,NA,1,-0.323758936,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
237,Adults,EF-Inhibitory control-baseline,EF-Inhibitory control-baseline,,,,Channon et al 2005,2005,Flanker task-baseline-speed,speed,speed,Compatible trials - Speed per item (sec.),NA,NA,NA,0.45,0.06,25,758.79,NA,NA,0.41,0.04,25,NA,-0.784464541,NA,1,-0.984293194,NA,1,NA,NA,NA,NA,NA,NA,2,Within 1 month,cont treat,Within 1 month
238,Adults,EF-Inhibitory control-baseline,EF-Inhibitory control-baseline,,,,Channon et al 2007 off diet,2007,Flanker task-baseline-speed,speed,speed,Compatible trials - Speed per item (sec.),NA,NA,NA,0.49,7.00E-02,25,1286.68,NA,NA,0.43,0.06,45,NA,-0.920357987,NA,1,-0.988929889,NA,1,NA,NA,NA,NA,NA,NA,2,Within 1 month,cont treat,Within 1 month
200,Adults,EF-Inhibitory control-baseline,EF-Inhibitory control-baseline,,,,Sundermann et al 2011-Gr1,2011,STROOP baseline,speed,NA,Placebo 1st session - neutral RT,"Subjects were instructed to decide via push button whether the color of the top row letters were writtetn in the same color of  the color name written in the bottom row.  In the neutral condtion the top row consisted of a series of XXXX 
and the bottom row of a word spelling a color name in white.  In the congruent condition; the bottom word was written in a consistent colour; in the incongruent condition in an incosistent colour",NA,NA,890.8,137,17,1140,310,NA,889,154.1,15,NA,-1.23E-02,NA,1,-1.14E-02,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,till  adolescence,Soon after birth
201,Adults,EF-Inhibitory control-baseline,EF-Inhibitory control-baseline,,,,Sundermann et al 2011-Gr1,2011,STROOP baseline,speed,NA,Placebo 2nd session - neutral RT,"Subjects were instructed to decide via push button whether the color of the top row letters were writtn in the same color of  the color name written in the bottom row.  In the neutral condtion the top row consisted of a series of XXXX 
and the bottom row of a word spelling a color name in white.  In the congruent condition; the bottom word was written in a consistent colour; in the incongruent condition in an incosistent colour",NA,NA,834.5,147,17,1210,320,NA,838.1,131.5,15,NA,2.58E-02,NA,1,2.67E-02,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,till  adolescence,Soon after birth
