order,age_group,func_EF_flex_one,func,ES_group,adult_ES_group,children_ES_group,study,year,task,speed_acc,speed_acc_matched,condition,measure,more_info,PKU_mean,PKU_sd,PKU_N,current_phe_mean,current_phe_sd,control_mean,control_sd,control_N,cohens_d,reverse,input_glass_delta,input_glass_delta_sd,include,pku_age_mean,pku_age_sd,control_age_mean,control_age_sd,diet_start_age1,diet_start_age2,diet_ends,diet_start_age3,CohensD,HedgesG,SMD,GlassDelta,InputDataSMD,ScaledSESqr,Vdf,SmallSampCor,g,Vg,FunctionMean,FunctionSD,Outlier,OutlierLowCut,OutlierHighCut
159,Adults,EF-Sustained attention,EF-Sustained attention,ES_large,ES_large,ES_medium,Schmidt et al 1994,1994,Dot pattern Task,accuracy,accuracy,Exercise T1 - N Errors,NA,NA,51.9,8.7,19,1417,NA,39.9,6.6,20,-1.55405738,1,-1.781076067,NA,1,NA,NA,NA,NA,--,Early treated,-,Early treated,-1.559746794,-1.527915226,-1.818181818,-1.818181818,-1.781076067,0.141452806,19,0.96,-1.745454545,0.221626794,-0.920352373,0.876086568,0,-3.110568793,1.269864047
327,Adults,Higher Language Skills,Higher Language Skills,NA,NA,NA,Palermo et al 2017/2020; De Felice et al 2018,2018,Appreciation of Humour,accuracy,accuracy,Appreciation of Humour Test -  N Errors,NA,NA,2,1.3,22,751.2,NA,2.2,1.6,25,0.137198868,1,0.122905028,NA,1,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth,0.136272162,0.133988271,0.125,0.125,0.122905028,0.070007102,24,0.968421053,0.121052632,0.070312389,-0.43153253,0.500473677,0,-1.682716723,0.819651662
331,Adults,Higher Language Skills,Higher Language Skills,NA,NA,NA,Palermo et al 2017/2020; De Felice et al 2018,2018,Inferred meaning-N err,accuracy,accuracy,Comprehension of Inferred meaning Test -  N Errors,NA,NA,1.3,1.2,22,751.2,NA,1.2,1.2,25,-0.083333333,1,-0.081936685,NA,1,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth,-0.083333333,-0.081936685,-0.083333333,-0.083333333,-0.081936685,0.085454545,24,0.968421053,-0.080701754,0.085590228,-0.43153253,0.500473677,0,-1.682716723,0.819651662
333,Adults,Higher Language Skills,Higher Language Skills,NA,NA,NA,Palermo et al 2017/2020; De Felice et al 2018,2018,Metaphor Picture-N err,accuracy,accuracy,Metaphor Picture Test - N Errors,NA,NA,1.1,1.7,22,751.2,NA,2.3,3.1,25,0.48,1,0.380609119,NA,1,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth,0.471622915,0.463718621,0.387096774,0.387096774,0.380609119,0.053669473,24,0.968421053,0.374872666,0.056597171,-0.43153253,0.500473677,0,-1.682716723,0.819651662
346,Adults,Language accuracy,Language accuracy,ES_small,ES_small,ES_small,Palermo et al 2017/2020; De Felice et al 2018,2018,Block Cyclic Naming,accuracy,accuracy,Block Cyclic Naming -,overall errors,NA,12.8,9.5,15,751.2,NA,10.7,7.1,24,-0.250408453,1,-0.289738431,NA,1,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth,-0.259507386,-0.254211317,-0.295774648,-0.295774648,-0.289738431,0.161021292,23,0.967032967,-0.286023835,0.162799762,-0.170461816,0.344919806,0,-1.03276133,0.691837699
352,Adults,Language accuracy,Language accuracy,ES_small,ES_small,ES_small,Palermo et al 2017/2020; De Felice et al 2018,2017,Colour Naming,accuracy,accuracy,Colour Naming - % Errors,NA,NA,0.1,0.2,37,720,NA,0.1,0.2,30,0,1,0,NA,1,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth,0,0,0,0,0,0.06036036,29,0.973913043,0,0.06036036,-0.170461816,0.344919806,0,-1.03276133,0.691837699
351,Adults,Language accuracy,Language accuracy,ES_small,ES_small,ES_small,Palermo et al 2017/2020; De Felice et al 2018,2017,Continuous Naming,accuracy,accuracy,Continulus Picture Naming - Overall % Errors,NA,NA,8.5,11,30,720,NA,7.1,5.1,30,-0.163293762,1,-0.270944742,NA,1,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth,-0.163293762,-0.161173064,-0.274509804,-0.274509804,-0.270944742,0.188401897,29,0.973913043,-0.267348679,0.18963423,-0.170461816,0.344919806,0,-1.03276133,0.691837699
353,Adults,Language accuracy,Language accuracy,ES_small,ES_small,ES_small,Palermo et al 2017/2020; De Felice et al 2018,2017,Non-word reading-accuracy,accuracy,accuracy,Non-word reading - % Errors,NA,NA,7.9,10.8,37,720,NA,5.8,5.7,30,-0.2431934,1,-0.364153627,NA,1,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth,-0.236124805,-0.233389768,-0.368421053,-0.368421053,-0.364153627,0.130361109,29,0.973913043,-0.358810069,0.132580845,-0.170461816,0.344919806,0,-1.03276133,0.691837699
355,Adults,Language accuracy,Language accuracy,ES_small,ES_small,ES_small,Palermo et al 2017/2020; De Felice et al 2018,2017,Word reading-Accuracy,accuracy,accuracy,Word Reading - % Errors,NA,NA,0.7,1,37,720,NA,0.6,0.8,30,-0.110431526,1,-0.123552124,NA,1,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth,-0.109148934,-0.10788466,-0.125,-0.125,-0.123552124,0.075563063,29,0.973913043,-0.12173913,0.075818587,-0.170461816,0.344919806,0,-1.03276133,0.691837699
376,Adults,Phonological Tasks,Phonological Tasks,NA,NA,NA,Palermo et al 2017/2020; De Felice et al 2018,2017,Spoonerisms-% err,accuracy,NA,Spoonerisms  - % Errors,NA,NA,10.9,14.7,37,720,NA,6.8,6.6,30,-0.359836067,1,-0.614016614,NA,1,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth,-0.347613598,-0.343587185,-0.621212121,-0.621212121,-0.614016614,0.16740749,29,0.973913043,-0.605006588,0.173718403,-0.48721094,0.166588202,0,-0.903681446,-0.070740434
542,Adults,Social Cognition,Social Cognition,NA,NA,NA,Palermo et al 2017/2020; De Felice et al 2018,2020,3 Face Test-Accuracy-N correct,accuracy,accuracy,3 Face Test - Accuracy - N correct,NA,NA,23.1,2.9,20,670,NA,22.6,4.8,25,-0.126088267,-1,0.102339181,NA,1,NA,NA,NA,NA,2,Within 1 month,cont treat,Within 1 month,0.122810534,0.120655963,0.104166667,0.104166667,0.102339181,0.058250868,24,0.968421053,0.100877193,0.058462872,-0.434556853,0.3097121,0,-1.208837103,0.339723397
544,Adults,Social Cognition,Social Cognition,NA,NA,NA,Palermo et al 2017/2020; De Felice et al 2018,2020,Affect Selection-N correct,accuracy,accuracy,Affect Selection - N correct,NA,NA,18.5,2,20,670,NA,18.2,2,25,-0.15,-1,0.147368421,NA,1,NA,NA,NA,NA,2,Within 1 month,cont treat,Within 1 month,0.15,0.147368421,0.15,0.15,0.147368421,0.09,24,0.968421053,0.145263158,0.090439612,-0.434556853,0.3097121,0,-1.208837103,0.339723397
548,Adults,Social Cognition,Social Cognition,NA,NA,NA,Jahja et al 2016/2017,2016,ANT identification of facial emotions-% err,accuracy,accuracy,ANT identification of facial emotions - % Errors,NA,NA,5.7,3.1,56,657,NA,4.6,2.5,53,-0.390621453,1,-0.436908665,NA,1,NA,NA,NA,NA,1,Since birth,-,Soon after birth,-0.389466485,-0.386730186,-0.44,-0.44,-0.436908665,0.046325067,52,0.985507246,-0.433623188,0.048133039,-0.434556853,0.3097121,0,-1.208837103,0.339723397
556,Adults,Social Cognition,Social Cognition,NA,NA,NA,Palermo et al 2017/2020; De Felice et al 2018,2020,Identity Test Accuracy-N correct,accuracy,accuracy,Identity Test Accuracy - N correct,NA,NA,21.5,0.7,20,670,NA,21.4,1,25,-0.115856889,-1,0.098245614,NA,1,NA,NA,NA,NA,2,Within 1 month,cont treat,Within 1 month,0.11361794,0.111624643,0.1,0.1,0.098245614,0.0645,24,0.968421053,0.096842105,0.064695383,-0.434556853,0.3097121,0,-1.208837103,0.339723397
312,Adults,Verbal STM/WM,Verbal STM/WM,ES_medium,ES_medium,ES_small,Abgottspon et al 2022,2022,N-back task,accuracy,accuracy,3 back - correct,NA,NA,81.4,6.3,20,702.3,NA,87.4,7.9,40,0.839756506,-1,-0.749630117,NA,1,NA,NA,NA,NA,1,NA,NA,NA,-0.809280879,-0.798770738,-0.759493671,-0.759493671,-0.749630117,0.056797789,39,0.980645161,-0.744793793,0.063909555,-0.559505432,0.561840638,0,-1.964107027,0.845096163
315,Adults,Verbal STM/WM,Verbal STM/WM,ES_medium,ES_medium,ES_small,Channon et al 2007 off diet,2007,N-back task,accuracy,accuracy,"Combined 0 back, 1 back, 2 back task -  % correct - off diet",NA,NA,92.43,4.99,25,1285.68,NA,93.88,4.86,45,0.294390605,-1,-0.295051099,NA,1,NA,NA,NA,NA,2,Within 1 month,cont treat,Within 1 month,-0.295539854,-0.292268195,-0.298353909,-0.298353909,-0.295051099,0.06439076,44,0.982857143,-0.293239271,0.065367911,-0.559505432,0.561840638,0,-1.964107027,0.845096163
403,Adults,Visual STM/WM,Visual STM/WM,ES_large,ES_large,ES_medium,Jahja et al 2016/2017,2017,Feature integration-accuracy,accuracy,accuracy,Feature integration - N Errors,NA,NA,4.5,2.6,57,655,NA,3.9,2.6,57,-0.230769231,1,-0.229220444,NA,1,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth,-0.230769231,-0.229220444,-0.230769231,-0.230769231,-0.229220444,0.035087719,56,0.986547085,-0.227664712,0.035550498,-0.482574897,0.772464677,0,-2.413736589,1.448586794
443,Adults,Visuo-spatial attention acc,Visuo-spatial attention acc,ES_small,ES_small,ES_small,Palermo et al 2017/2020; De Felice et al 2018,2017,Choice detection,accuracy,accuracy,Choice Reaction time -  % Errors,NA,NA,0.5,0.8,37,720,NA,0.4,0.8,30,-0.125,1,-0.123552124,NA,1,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth,-0.125,-0.123552124,-0.125,-0.125,-0.123552124,0.06036036,29,0.973913043,-0.12173913,0.060615885,-0.254133685,0.32653035,0,-1.07045956,0.56219219
444,Adults,Visuo-spatial attention acc,Visuo-spatial attention acc,ES_small,ES_small,ES_small,Palermo et al 2017/2020; De Felice et al 2018,2017,Conjoined search,accuracy,accuracy,Conjanction Search - % Errors,NA,NA,2.4,2.7,37,720,NA,3.1,4.4,30,0.19176283,1,0.157248157,NA,1,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth,0.196617757,0.194340332,0.159090909,0.159090909,0.157248157,0.043510349,29,0.973913043,0.154940711,0.043924257,-0.254133685,0.32653035,0,-1.07045956,0.56219219
445,Adults,Visuo-spatial attention acc,Visuo-spatial attention acc,ES_small,ES_small,ES_small,Romani et al 2020,2020,Conjunction search-accuracy,accuracy,accuracy,Conjanction Search - % Errors,NA,NA,3.2,4.7,19,1042,NA,2.8,4.7,19,-0.085106383,1,-0.083320934,NA,1,NA,NA,NA,NA,1,Since birth,-,Soon after birth,-0.085106383,-0.083320934,-0.085106383,-0.085106383,-0.083320934,0.105263158,18,0.957746479,-0.081510339,0.105447712,-0.254133685,0.32653035,0,-1.07045956,0.56219219
446,Adults,Visuo-spatial attention acc,Visuo-spatial attention acc,ES_small,ES_small,ES_small,Palermo et al 2017/2020; De Felice et al 2018,2017,Detection w/distractors-accuracy,accuracy,accuracy,Detection with distractors - % Errors,NA,NA,0.8,1.1,37,720,NA,0.6,0.6,30,-0.225733059,1,-0.329472329,NA,1,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth,-0.219426863,-0.216885239,-0.333333333,-0.333333333,-0.329472329,0.124174174,29,0.973913043,-0.324637681,0.125991237,-0.254133685,0.32653035,0,-1.07045956,0.56219219
447,Adults,Visuo-spatial attention acc,Visuo-spatial attention acc,ES_small,ES_small,ES_small,Romani et al 2020,2020,Detection w/distractors-accuracy,accuracy,accuracy,Detection with distractors - % Errors,NA,NA,0.8,0.6,19,1042,NA,0.5,1.1,19,-0.338599589,1,-0.267005722,NA,1,NA,NA,NA,NA,1,Since birth,-,Soon after birth,-0.338599589,-0.331496101,-0.272727273,-0.272727273,-0.267005722,0.068290561,18,0.957746479,-0.261203585,0.070185764,-0.254133685,0.32653035,0,-1.07045956,0.56219219
448,Adults,Visuo-spatial attention acc,Visuo-spatial attention acc,ES_small,ES_small,ES_small,Palermo et al 2017/2020; De Felice et al 2018,2017,Feature search-accuracy,accuracy,accuracy,Feature search - % Errors,NA,NA,1.6,2.6,37,720,NA,2,2.3,30,0.162960169,1,0.171898607,NA,1,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth,0.161900152,0.16002486,0.173913043,0.173913043,0.171898607,0.067870706,29,0.973913043,0.169376181,0.068365332,-0.254133685,0.32653035,0,-1.07045956,0.56219219
449,Adults,Visuo-spatial attention acc,Visuo-spatial attention acc,ES_small,ES_small,ES_small,Romani et al 2020,2020,Feature search-accuracy,accuracy,accuracy,Feature search - % Errors,NA,NA,1.6,4.7,19,1042,NA,0.6,1.2,19,-0.29154395,1,-0.815850816,NA,1,NA,NA,NA,NA,1,Since birth,-,Soon after birth,-0.29154395,-0.285427644,-0.833333333,-0.833333333,-0.815850816,0.86001462,18,0.957746479,-0.798122066,0.877709032,-0.254133685,0.32653035,0,-1.07045956,0.56219219
450,Adults,Visuo-spatial attention acc,Visuo-spatial attention acc,ES_small,ES_small,ES_small,Jahja et al 2016/2017,2017,Memory search-high load-N err,accuracy,accuracy,Memory search 2 dimension task - high memory load - N Errors,NA,NA,10.3,6.6,57,655,NA,9.2,8,57,-0.149996901,1,-0.136577181,NA,1,NA,NA,NA,NA,1,Since birth,-,Soon after birth,-0.149996901,-0.14899021,-0.1375,-0.1375,-0.136577181,0.029484649,56,0.986547085,-0.135650224,0.029648944,-0.254133685,0.32653035,0,-1.07045956,0.56219219
451,Adults,Visuo-spatial attention acc,Visuo-spatial attention acc,ES_small,ES_small,ES_small,Jahja et al 2016/2017,2017,Memory search-low load-N err,accuracy,accuracy,Memory search 2 dimension task - Low memory load  - N Errors,NA,NA,1.7,2.4,57,655,NA,1.7,2.2,57,0,1,0,NA,1,NA,NA,NA,NA,1,Since birth,-,Soon after birth,0,0,0,0,0,0.038422503,56,0.986547085,0,0.038422503,-0.254133685,0.32653035,0,-1.07045956,0.56219219
417,Adults,Visuo-spatial skills,Visuo-spatial skills,ES_small,ES_small,ES_large,Channon et al 2005 on diet,2005,Perceptual judgement Task,accuracy,accuracy,Shape matching - % correct,Given a target object match it with one of two objects presented below,NA,99.4,1.66,25,758.79,NA,99.4,1.66,25,0,-1,0,NA,1,NA,NA,NA,NA,2,Within 1 month,cont treat,Within 1 month,0,0,0,0,0,0.08,24,0.968421053,0,0.08,-0.603634741,0.719321033,0,-2.401937323,1.194667841
418,Adults,Visuo-spatial skills,Visuo-spatial skills,ES_small,ES_small,ES_large,Channon et al 2007 off diet,2007,Perceptual judgement Task,accuracy,accuracy,Shape matching - % correct,A single object displayed and ppts were required to match it to one of two objects,NA,98.2,2.84,25,1285.68,NA,98.6,2.02,45,0.162314886,-1,-0.195827701,NA,1,NA,NA,NA,NA,2,Within 1 month,off diet,Within 1 month,-0.170763418,-0.168873048,-0.198019802,-0.198019802,-0.195827701,0.10128898,44,0.982857143,-0.194625177,0.101719423,-0.603634741,0.719321033,0,-2.401937323,1.194667841
26,Adults,EF-Flexibility,EF-Flexibility-other,ES_medium,ES_medium,ES_small,Channon et al 2005,2005,Object Alternation,speed,speed,on diet vs controls -  speed per item (sec),NA,NA,0.88,0.3,25,758.79,NA,0.77,0.42,25,-0.301398143,1,-0.257791075,NA,1,NA,NA,NA,NA,2,Within 1 month,cont treat,Within 1 month,-0.301398143,-0.296664141,-0.261904762,-0.261904762,-0.257791075,0.060408163,24,0.968421053,-0.253634085,0.061748377,-0.704966472,0.850819706,0,-2.832015736,1.422082792
27,Adults,EF-Flexibility,EF-Flexibility-other,ES_medium,ES_medium,ES_small,Channon et al 2007 off diet,2007,Object Alternation-Speed,speed,NA,Object alternation learning; off diet vs controls - Speed per item,NA,NA,0.92,0.35,25,1285.68,NA,0.76,0.4,45,-0.425721667,1,-0.395571956,NA,1,NA,NA,NA,NA,2,Within 1 month,cont treat,Within 1 month,-0.41764681,-0.413023413,-0.4,-0.4,-0.395571956,0.052847222,44,0.982857143,-0.393142857,0.054603601,-0.704966472,0.850819706,0,-2.832015736,1.422082792
28,Adults,EF-Flexibility,EF-Flexibility-other,ES_medium,ES_medium,ES_small,Christ et al 2023,2023,Oral Symbol Digit,speed,NA,processing speed - T-score,NA,NIH Toolbox Cognitive Battery,52,8.4,40,589,444,54,5.2,32,NA,-1,-0.380479735,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-0.279271715,-0.276268794,-0.384615385,-0.384615385,-0.380479735,0.096486686,31,0.975609756,-0.375234522,0.098757669,-0.704966472,0.850819706,0,-2.832015736,1.422082792
29,Adults,EF-Flexibility,EF-Flexibility-other,ES_medium,ES_medium,ES_small,Pilotto et al 2021,2021,TMT–B,speed,NA,Trail making B -Time (sec.),NA,NA,70,25.63,19,890,NA,41,11,25,-1.470455802,1,-2.589003811,NA,1,NA,NA,NA,NA,2,NA,cont treat,Within 1 month,-1.548633427,-1.520813665,-2.636363636,-2.636363636,-2.589003811,0.325731579,24,0.968421053,-2.553110048,0.461530973,-0.704966472,0.850819706,0,-2.832015736,1.422082792
30,Adults,EF-Flexibility,EF-Flexibility-other,ES_medium,ES_medium,ES_small,Romani et al 2020,2020,TMT–B,speed,NA,Trail making B -Time (sec.),NA,difference scores are available,79.8,34,19,1042,NA,54.4,19.7,19,-0.914139361,1,-1.262291008,NA,1,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth,-0.914139361,-0.894961612,-1.289340102,-1.289340102,-1.262291008,0.209404764,18,0.957746479,-1.234860942,0.251762584,-0.704966472,0.850819706,0,-2.832015736,1.422082792
33,Adults,EF-Flexibility,EF-Flexibility-other,ES_medium,ES_medium,ES_small,Palermo et al 2017/2020; De Felice et al 2018,2017,TMT-difference,speed,NA,Trail making - Difference B-A time (sec.),NA,raw scores not reported,19,10.8,37,720,NA,20.7,13.3,30,0.140325847,1,0.126339014,0.01051725,1,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth,0.141902989,0.140259325,0.127819549,0.127819549,0.126339014,0.051154762,29,0.973913043,0.124485126,0.051421943,-0.704966472,0.850819706,0,-2.832015736,1.422082792
177,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_small,ES_small,ES_large,Palermo et al 2017/2020; De Felice et al 2018,2018,Block Cyclic Naming,speed,NA,Block Cyclic Naming Semantic Interference -  4th cycle-1st cycle - RT,NA,NA,85.9,16.7,15,751.2,NA,75.7,19.2,24,-0.566872283,1,-0.520408163,NA,1,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth,-0.557551439,-0.546172838,-0.53125,-0.53125,-0.520408163,0.092102503,23,0.967032967,-0.513736264,0.097840002,-0.514355554,0.502573004,0,-1.770788066,0.742076957
185,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_small,ES_small,ES_large,Muri et al 2022,2022,Colour-word interference test condition 3 (inhibition?),speed,NA,Scale scores (time),NA,Time (higher = better),10,2.5,30,741,265.1851852,11,3.8,54,0.19,-1,-0.260743602,NA,1,10.75,12.1,13.1,3.2,NA,NA,NA,NA,-0.294327308,-0.291627057,-0.263157895,-0.263157895,-0.260743602,0.032946035,53,0.985781991,-0.259416313,0.03358091,-0.514355554,0.502573004,0,-1.770788066,0.742076957
188,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_small,ES_small,ES_large,Muri et al 2022,2022,Colour-word interference test condition 4 (inhibition/switching),speed,NA,Scale scores (interference),NA,Time (higher=btter),10,2,30,741,265.1851852,12,3,54,0.44,-1,-0.660550459,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-0.743720196,-0.736897075,-0.666666667,-0.666666667,-0.660550459,0.033333333,53,0.985781991,-0.657187994,0.037407824,-0.514355554,0.502573004,0,-1.770788066,0.742076957
189,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_small,ES_small,ES_large,Palermo et al 2017/2020; De Felice et al 2018,2017,Continuous Naming-5th-1st pos,speed,speed,Naming Semantic Interference Task - Difference position 5-1 - RT,NA,NA,173,94.6,37,720,NA,145,62.9,30,-0.348565527,1,-0.439994844,NA,1,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth,-0.341523725,-0.337567852,-0.445151033,-0.445151033,-0.439994844,0.094466833,29,0.973913043,-0.433538398,0.097707446,-0.514355554,0.502573004,0,-1.770788066,0.742076957
