,Func_ES_groupping  = ESs grouped according to size of impariment in adults as follows,,,,,,,,,,,,,PKU GROUP,,,,,,CONTROL GROUP,,,,ES,,,,,,,PKU group ,,,CONTROLS,,,,,,
27,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Channon et al 2007 off diet,2007,Object Alternation-Speed,,,Object alternation learning; off diet vs controls - Speed per item ,,,,0.9,0.35,25,1286,,,0.8,0.4,45,,-0.43,,1,-0.4,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
28,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Christ et al 2023,2023,Oral Symbol Digit,speed,,processing speed - T-score,,NIH Toolbox Cognitive Battery,This is an additional measure of processing speed in which participants orally report digits that correspond to a series of symbols via a provided symbol-digit key.,52,8.4,40,589,444,,54,5.2,32,NA,,,-1,-0.38,,1,,NA,,,,,,,,,
29,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Pilotto et al 2021,2021,TMT–B,,,Trail making B -Time (sec.),,,,70,25.63,19,890,,,41,11,25,,-1.47,,1,-2.59,,1,,,,,,,2,,cont treat,Within 1 month,
30,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Romani et al 2020,2020,TMT–B,,,Trail making B -Time (sec.),,difference scores are available,,79.8,34,19,1042,,,54.4,19.7,19,,-0.91,,1,-1.26,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
31,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Sundermann et al 2020,2020,TMT–B,,,Trail making B -Time (sec.),,,,60.4,43.5,16,926,,,53.3,7.375,17,,-0.23,,1,-0.95,,1,,,,,,,4,within 3 months,--,Within 3 months,
32,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Moyle et al 2007,2007,TMT-difference,,,Trail making - Difference B-A time (sec.),SD must be estimated-Subtraction is not reported in the paper,,,40,35,12,-,,,31,11.9,12,,-0.34,,1,-0.73,,1,,,,,,,1,From birth,"cont treat, but off diet",Soon after birth,
33,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Palermo et al 2017/2018,2017,TMT-difference,,,Trail making - Difference B-A time (sec.),,raw scores not reported,,19,10.8,37,720,,,20.7,13.3,30,,0.14,,1,0.13,0.01,1,,,,,,,1,Since birth,cont treat,Soon after birth,
34,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Aitkenhead et al 2021,2021,WCST,,,z-score,,DKefs Card Sorting,,-0.3,1,152,908,,,0,1,76,,--,,-1,-0.26,1,1,,,,,,,,,-,,
35,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Nardecchia et al 2015,2015,WCST,,,N perseverative responses,,,,108.5,17.82,14,-,,,105.9,9.73,14,,-0.18,,1,-0.26,,1,,,,,,,--,Witihn 2 months,cont treat,Witihn 2 months,
36,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Nardecchia et al 2015,2015,WCST,,,N categories - correct,,,,5.6,1.16,14,-,,,6,0.1,14,,0.52,,-1,-4.17,,1,,,,,,,--,Witihn 2 months,cont treat,Witihn 2 months,
37,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Palermo et al 2017/2018,2017,WCST,,,N categories - correct,,,,3.9,1.2,37,720,,,4.4,0.9,30,,0.47,,-1,-0.55,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
38,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Palermo et al 2017/2018,2017,WCST,,,   N perseverative responses,,,,8.1,5.1,37,720,,,6.8,4.4,30,,-0.27,,1,-0.29,,1,,,,,,,3,Since birth,cont treat,Soon after birth,
39,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Ris et al 1994,2017,WCST,,,   N perseverative responses,,,,21,32,25,1332,,,12,9,15,,-0.38,,1,-0.98,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
40,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Romani et al 2020,2020,WCST,,,N categories - correct,,,,4,1.1,19,1042,,,4.1,1,19,,0.1,,-1,-0.1,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
41,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Romani et al 2020,2020,WCST,,,   N perseverative responses,,,,7,3.1,19,1042,,,7.8,3.3,19,,0.25,,1,0.24,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
42,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Smith et al 1996-High Phe,1996,WCST,,,N categories - correct,,,,4.4,1.71,11,1545,,,5.6,1.33,22,,0.78,,-1,-0.87,,1,,,,,,,1,--,--,--,
43,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Smith et al 1996-High Phe,1996,WCST,,,N perseverative responses,,,,23,10.1,11,1545,,,9.7,8.23,22,,-1.45,,1,-1.58,,1,,,,,,,1,--,--,--,
44,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Smith et al 1996-Low Phe,1996,WCST,,,N categories - correct,,,,6,1.33,11,566,,,5.6,1.33,22,,-0.31,,-1,0.3,,1,,,,,,,--,--,--,--,
45,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Smith et al 1996-Low Phe,1996,WCST,,,N perseverative responses,,,,7.6,4.29,11,566,,,9.7,8.23,22,,0.32,,1,0.25,,1,,,,,,,--,--,--,--,
49,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Griffiths 1995,1995,Design fluency,,,Number of non-repeated designs in 3 min,,,,11.9,2.56,10,348,,,12.2,2.35,10,,,,-1,-0.12,,1,,7.53,-,,7.59,-,,median age 15 days (range 12-20),,,
50,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Anderson et al 2003/2008,2008,Digit symbol coding,,,speed + accuracy,,The child is given a key in which digits are paired with simple shapes. The task is to draw each shape under its corresponding digit within a certain time limit - from WISC,,7.8,2.872,33,,,,10.5,2.915,34,,0.93,,-1,-0.92,,1,,11.18,3.4,,10.3,3.1,,,,,
51,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Antshel & Waisbren 2003,2003,Digit symbol coding,,,score,,The child is given a key in which digits are paired with simple shapes. The task is to draw each shape under its corresponding digit within a certain time limit - from WISC,,7.8,2.8,46,490,375,,10.3,2.1,18,,1.01,,-1,-1.18,,1,,10.75,2.1,,13.1,3.2,,,,,
52,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Antshel & Waisbren 2003,2003,Digit symbol coding,,,Errors,,The child is given a key in which digits are paired with simple shapes. The task is to draw each shape under its corresponding digit within a certain time limit - from WISC,,0.2,0.1,46,490,375,,0.1,0.1,18,,-1,,1,-0.99,,0,,10.75,2.1,,13.1,3.2,,,,,
53,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Jahja et al 2014,2014,shifting attentional set-visual,,,SSV part3-part1 - flexibility - high phe group,,,,15.2,15.942,21,590,248,,8.2,9.171,73,,,,1,-0.76,,1,,10.6,2.5,,10.9,2.2,,,,,
54,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Trimarco et al 2020,2020,Switching combined ,,,"The child listens to a series of words and touches the
appropriate circle (matching or contrasting) when he or she hears a
target word (description in paper??) Switching
involves rapidly saying the correct shape or
arrow direction if the object is colored white, or
saying the opposite shape or arrow direction if",scaled score (norm=10;3),,From NespyII,7,2.25,15,289,83,,10,2.25,14,,,,-1,-1.25,,1,,,,,,,,,,,
55,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Bisiacchi et al 2018,2018,TMT–B,,,,,,,115,45.9,11,743,84,,76.8,17.6,28,,,,1,-2.13,,1,,13,2.5,,11.8,2.5,,,,,
56,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Leuzzi et al 2004,2004,WCST,,,Perseverative Errors,,,,17.7,11.68,14,491,149,,7.6,3.17,14,,,,1,-3.09,,1,,10.8,1.25,,10.9,1.3,,,,,
57,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Leuzzi et al 2004,2004,WCST,,,Categories,,,,5.1,1.32,14,491,149,,6,1.3,14,,,,-1,-0.69,,1,,10.8,1.25,,10.9,1.3,,,,,
58,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Smith et al 2000,2000,WCST,,,Perseverative Errors,percentage perseverative errors,,,18.3,8.08,19,777,200,,13.8,7.64,19,,,,1,-0.57,,1,,9.4,2.9,,9.3,2.9,,,,,
59,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Smith et al 2000,2000,WCST,,,Number of categories,number of categories,,,4.7,1.45,19,777,200,,5.5,1.02,19,,,,-1,-0.79,,1,,9.4,2.9,,9.3,2.9,,,,,
60,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Stemerdink et al 1999,1999,WCST,,,Number of categories,,,,4.1,1.9,36,455,250,,4.8,2,36,,,,-1,-0.35,,1,,13.3,3,,13.2,3,,,,,
61,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Stemerdink et al 1999,1999,WCST,,,percentage perseverative Errors,,,,11.6,7.9,36,455,250,,7.8,4.9,36,,,,-1,0.77,,1,,13.3,3,,13.2,3,,,,,
62,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Gassio et al 2005,2005,WCST,,,Perseverative Errors,,,,50,11,26,489,181,,57,7,21,,,,-1,-0.98,,1,,12.3,3.7,,11.8,3.6,,,,,
63,Children,EF-Flexibility,EF-Flexibility-other,ES_large,White et al 2001,2001,WCST,,,Correct responses,,,,68.5,14.01,23,496,230,,71.1,9.81,23,,,,-1,-0.26,,1,,10.7,3.4,,11.1,3.7,,,,,
64,Children,EF-Flexibility,EF-Flexibility-other,ES_large,White et al 2001,2001,WCST,,,Perseverative Errors,,,,18.5,18.82,23,496,230,,17.9,13.44,23,,,,1,-0.04,,1,,10.7,3.4,,11.1,3.7,,,,,
67,Mixed-age,EF-Flexibility,EF-Flexibility-other,ES_large,Van Zutphen et al 2007,2007,Design Fluency,,,Design fluency empy dots,,From D-KEFS,,8.9,2.53,15,660,337,,10,3,20,,0.41,,-1,-0.37,,1,,14.8,3,,,,,,,,
68,Mixed-age,EF-Flexibility,EF-Flexibility-other,ES_large,Van Zutphen et al 2007,2007,Design Fluency,,,Design fluency filled dots,,From D-KEFS,,9.2,2.08,15,660,337,,10,3,20,,0.31,,-1,-0.26,,1,,14.8,3,,,,,,,,
69,Mixed-age,EF-Flexibility,EF-Flexibility-other,ES_large,Van Zutphen et al 2007,2007,Design Fluency,,,Percent Design Accuracy,,,,6.2,3.87,15,660,337,,10,3,20,,1.11,,-1,-1.25,,1,,14.8,3,,,,,,,,
70,Mixed-age,EF-Flexibility,EF-Flexibility-other,ES_large,Van Zutphen et al 2007,2007,TMT–B,,,TMT Numbe/letterr sequencing,,From D-KEFS,,8.1,2.74,15,660,337,,10,3,20,,,,-1,-0.63,,1,,14.8,3,,,,,,,,
71,Mixed-age,EF-Flexibility,EF-Flexibility-other,ES_large,Gassio et al 2005,2005,TMT–B,,,,,,,45,13,26,489,181,,53,11,21,,,,-1,-0.72,,1,,12.3,3.7,,11.8,3.6,,,,,
72,Mixed-age,EF-Flexibility,EF-Flexibility-other,ES_large,Luciana et al 2001,2001,WCST,,,Average ES,,Set shifting task (analogous of WCST),,7.9,7.151,18,NA,,,7.2,5.89,16,,,,1,-0.77,#DIV/0!,1,,17.88,2.74,,16.32,2.92,,,,,
73,Mixed-age,EF-Flexibility,EF-Flexibility-other,ES_large,Griffiths 1995,1995,Design fluency,,,Number of non-repeated designs in 3 min,Visual matching-to-sample of complex drawings. First items from MFFT20 (Caims & Cammock 1978). - Identify from a group of 6 similar figures the one tht matches a given sample. It measures One-minute time-limit per figure. It is supposed to test speed of reflection and impulsivity.,,,18.2,3.43,10,1014,216,,24.5,3.41,10,,,,-1,-1.77,,1,,20.6,3.8,13.6-28.42,,,,,,,
75,Children,EF-Flexibility,EF-Flexibility-verbal,ES_large,White et al 2001,2001,Phonemic fluency,,,Total words,,,,4.2,2.35,23,496,230,,6.4,3.45,23,,,,-1,-0.64,,1,,10.7,3.4,,11.1,3.7,,,,,
76,Adults,EF-Flexibility,EF-Flexibility-verbal,ES_large,Aitkenhead et al 2021,2021,Phonemic fluency,,,Letter fluency 'S' - N correct,,,,-0.4,0.97,150,908,,,0,1,76,,--,,-1,-0.44,0.97,1,,,,,,,1,,-,,
77,Adults,EF-Flexibility,EF-Flexibility-verbal,ES_large,Channon et al 2004,2004,Phonemic fluency,,,Letter fluency - N correct,,,,8,1.64,20,859,,,9.8,2.53,20,,0.82,,-1,-0.68,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
78,Adults,EF-Flexibility,EF-Flexibility-verbal,ES_large,Moyle et al 2007,2007,Phonemic fluency,,,Phonemic fluency - N correct,,,,39,13.9,12,-,,,41,11.1,12,,0.16,,-1,-0.17,,1,,,,,,,1,From birth,"cont treat, but off diet",Soon after birth,
79,Adults,EF-Flexibility,EF-Flexibility-verbal,ES_large,Palermo et al 2017/2018,2017,Phonemic fluency,,,Letter fluency - N correct,,,,35.9,11.4,37,720,,,41.8,12.9,30,,0.48,,-1,-0.45,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
80,Adults,EF-Flexibility,EF-Flexibility-verbal,ES_large,Pilotto et al 2021,2021,Phonemic fluency,,,Phonemic fluency - N correct,,,,16,8,19,890,,,21,2.36,25,,0.85,,-1,-2.08,,1,,,,,,,2,,cont treat,Within 1 month,
81,Adults,EF-Flexibility,EF-Flexibility-verbal,ES_large,Romani et al 2020,2020,Phonemic fluency,,,Letter fluency - N correct,,,,39,11,19,1042,,,47.5,9.3,19,,0.83,,-1,-0.89,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
82,Children,EF-Flexibility,EF-Flexibility-verbal,ES_large,Anderson et al 2002/2007,2002,Phonemic fluency,,,Total words,COWAT,"letters F,A,S",,21.9,7.38,36,490,375,,24.4,5.34,69,,,,-1,-0.47,,1,,11.18,3.4,,10.29,3.1,,,,,
83,Children,EF-Flexibility,EF-Flexibility-verbal,ES_large,Bisiacchi et al 2018,2018,Phonemic Fluency,,,Total words,,,,23.6,8,11,743,84,,26.9,9.4,28,,,,-1,-0.34,,1,,13,2.5,,11.8,2.5,,,,,
84,Mixed-age,EF-Flexibility,EF-Flexibility-verbal,ES_large,Van Zutphen et al 2007,2007,Phonemic Fluency,,,Total words,,From D-KEFS,,10.5,3.64,15,660,337,,10,3,20,,,,-1,0.15,,1,,14.8,3,,,,,,,,
85,Children,EF-Flexibility,EF-Flexibility-verbal,ES_large,Banerjee et al 2011,2011,Phonemic fluency,,,Clusters,,,,1.9,1.2,36,509,285,,2.2,1.4,41,,,,-1,-0.21,,0,,12.2,3.9,,13.1,3.2,,,,,
86,Children,EF-Flexibility,EF-Flexibility-verbal,ES_large,Banerjee et al 2011,2011,Phonemic fluency,,,Switches,,,,5.2,2.5,36,509,285,,7,2.6,41,,,,-1,-0.69,,0,,12.2,3.9,,13.1,3.2,,,,,
87,Children,EF-Flexibility,EF-Flexibility-verbal,ES_large,Banerjee et al 2011,2011,Phonemic fluency,,,Words in clusters,,,,3.9,2.5,36,509,285,,4.6,2.7,41,,,,-1,-0.26,,0,,12.2,3.9,,13.1,3.2,,,,,
88,Children,EF-Flexibility,EF-Flexibility-verbal,ES_large,Banerjee et al 2011,2011,Phonemic fluency,,,Total words,,,,8,3.4,36,509,285,,10.3,3.5,41,,,,-1,-0.65,,1,,12.2,3.9,,13.1,3.2,,,,,
89,Adults,EF-Flexibility,EF-Flexibility-verbal,ES_large,Luna at al 2023,2023,Phonemic fluency ,,,Letter fluency - N correct,"F,A,S",from Controlled Oral Word Association Test (COWAT),,38.7,12.81,20,586,420,,45.1,7.99,20,NA,0.28,,-1,-0.6,,0,,NA,,,,,,,,,
90,Children,EF-Flexibility,EF-Flexibility-verbal,ES_large,Smith et al 2000,2000,Phonemic fluency ,,,Total words,"number of words generated (F, A, S)",,,19.8,8.74,19,777,200,,20.7,13.44,19,,,,-1,-0.06,,1,,9.4,2.9,,9.3,2.9,,,,,
91,Children,EF-Flexibility,EF-Flexibility-verbal,ES_large,Griffiths 1995,1995,Phonemic fluency ,,,Total words correct,"F', 'A', 'S'",,,18.8,8.95,10,348,,,19,9.63,10,,,,-1,-0.02,,1,,7.53,-,,7.59,-,,median age 15 days (range 12-20),,,
92,Mixed-age,EF-Flexibility,EF-Flexibility-verbal,ES_large,Griffiths 1995,1995,Phonemic fluency ,,,Total words correct,"F', 'A', 'S'",,,33.8,9.43,10,1014,216,,38.9,8.63,10,,,,-1,-0.57,,1,,20.6,3.8,13.6-28.42,,,,,,,
93,Adults,EF-Flexibility,EF-Flexibility-verbal,ES_large,Aitkenhead et al 2021,2021,Semantic fluency,,,z score,,,,0.1,1,150,908,,,0,1,76,,--,,-1,0.07,0.99,1,,,,,,,1,,-,,
94,Adults,EF-Flexibility,EF-Flexibility-verbal,ES_large,Moyle et al 2007,2007,Semantic fluency,,, N correct,,,,21,11.1,12,-,,,23,3.8,12,,0.24,,-1,-0.51,,1,,,,,,,1,From birth,"cont treat, but off diet",Soon after birth,
95,Adults,EF-Flexibility,EF-Flexibility-verbal,ES_large,Pilotto et al 2021,2021,Semantic fluency,,, N correct,,,,25,9.61,19,890,,,34,4.72,25,,1.19,,-1,-1.87,,1,,,,,,,2,,cont treat,Within 1 month,
96,Children,EF-Flexibility,EF-Flexibility-verbal,ES_large,Bisiacchi et al 2018,2018,Semantic fluency,,,Total words,,,,49.6,11.5,11,743,84,,53.5,13.4,28,,,,-1,-0.29,,1,,13,2.5,,11.8,2.5,,,,,
97,Mixed-age,EF-Flexibility,EF-Flexibility-verbal,ES_large,Van Zutphen et al 2007,2007,Semantic fluency,,,Category Switching,,From D-KEFS,,9.4,3.66,15,660,337,,10,3,20,,,,-1,-0.2,,0,,14.8,3,,,,,,,,
98,Mixed-age,EF-Flexibility,EF-Flexibility-verbal,ES_large,Van Zutphen et al 2007,2007,Semantic fluency,,,Category Switching Accuracy,,From D-KEFS,,8.9,4,15,660,337,,10,3,20,,,,-1,-0.35,,0,,14.8,3,,,,,,,,
99,Mixed-age,EF-Flexibility,EF-Flexibility-verbal,ES_large,Van Zutphen et al 2007,2007,Semantic fluency,,,Total words,,From D-KEFS,,11,3.92,15,660,337,,10,3,20,,,,-1,0.33,,1,,14.8,3,,,,,,,,
100,Children,EF-Flexibility,EF-Flexibility-verbal,ES_large,Banerjee et al 2011,2011,Semantic fluency,,,Clusters,,,,4.1,1.85,36,509,285,,4.5,1.85,41,,,,-1,-0.19,,0,,12.2,3.9,,13.1,3.2,,,,,
101,Children,EF-Flexibility,EF-Flexibility-verbal,ES_large,Banerjee et al 2011,2011,Semantic fluency,,,Switches,,,,7.9,2.65,36,509,285,,8.9,2.9,41,,,,-1,-0.36,,0,,12.2,3.9,,13.1,3.2,,,,,
102,Children,EF-Flexibility,EF-Flexibility-verbal,ES_large,Banerjee et al 2011,2011,Semantic fluency,,,Words in clusters,,,,12,5.85,36,509,285,,12.5,5.8,41,,,,-1,-0.09,,0,,12.2,3.9,,13.1,3.2,,,,,
103,Children,EF-Flexibility,EF-Flexibility-verbal,ES_large,Banerjee et al 2011,2011,Semantic fluency,,,Total words,,,,16.9,5.55,36,509,285,,17.9,6.45,41,,,,-1,-0.15,,1,,12.2,3.9,,13.1,3.2,,,,,
104,Children,EF-Flexibility,EF-Flexibility-verbal,ES_large,White et al 2001,2001,Semantic fluency,,,Total words,,,,16.3,5.12,23,496,230,,16.6,6.92,23,,,,-1,-0.04,,1,,10.7,3.4,,11.1,3.7,,,,,
