"Order","Age..group","Func_EF_flex_one","Function","ES_group","Study","Year","Task","speed.acc....all.speed.tasks.even.if.no.matched.with.accuracy.","speed.acc.matched","Condition.measure","More.information","X","X.1","x.","SD","N..obs","Current.Phe.Mean","SD.1","X.2","x..1","SD.2","N..obs.1","X.3","Cohen..s.D...not.revr","X.4","Coeff","Glass.delta","SD.glass","Include","X.5","x..2","SD.3","X.6","x..3","SD.4","Age.diet.starts","Age.diet.starts.1","Diet.termination","Age.diet.starts.2","X.7"
32,"Adults","EF-Flexibility","EF-Flexibility-other","ES_medium","Moyle et al 2007",2007,"TMT-difference","","","Trail making - Difference B-A time (sec.)","SD must be estimated-Subtraction is not reported in the paper","","",40,"35.0000",12,"-",NA,"",31,"11.9000",12,"","-0.34",NA,1,"-0.73","",1,"","","","",NA,"","1","From birth","cont treat, but off diet","Soon after birth",""
22,"Adults","EF-Flexibility","EF-Flexibility-other","ES_medium","Muri et al 2022",2022,"Digit/symbol coding","","","Subtest of WAIS-IV","Scale scores (total correct)","higher=better","",10,"3.0000",30,"741.0000",265.1852,"IQR=358; based on normal distribution SD = IQR/1.35",12,"3.0000",54,"54","0.48",NA,-1,"-0.66","",1,"",NA,"","",NA,"","","","","",""
35,"Adults","EF-Flexibility","EF-Flexibility-other","ES_medium","Nardecchia et al 2015",2015,"WCST","","","N perseverative responses","","","",108.5,"17.8200",14,"-",NA,"",105.93,"9.7300",14,"","-0.18",NA,1,"-0.26","",1,"","","","",NA,"","--","Witihn 2 months","cont treat","Witihn 2 months",""
36,"Adults","EF-Flexibility","EF-Flexibility-other","ES_medium","Nardecchia et al 2015",2015,"WCST","","","N categories - correct","","","",5.57,"1.1600",14,"-",NA,"",6,"0.1000",14,"","0.52",NA,-1,"-4.17","",1,"","","","",NA,"","--","Witihn 2 months","cont treat","Witihn 2 months",""
19,"Adults","EF-Flexibility","EF-Flexibility-other","ES_medium","Palermo et al 2017/2020; De Felice et al 2018",2017,"Digit symbol coding","","","Digit symbol coding - % Error","","","",37.3,"11.3000",37,"720.0000",NA,"",27.1,"10.2000",30,"","-0.95",NA,1,"-0.99","",1,"","","","",NA,"","1","Since birth","cont treat","Soon after birth",""
33,"Adults","EF-Flexibility","EF-Flexibility-other","ES_medium","Palermo et al 2017/2020; De Felice et al 2018",2017,"TMT-difference","","","Trail making - Difference B-A time (sec.)","","raw scores not reported","",19,"10.8000",37,"720.0000",NA,"",20.7,"13.3000",30,"","0.14",NA,1,"0.13","0.01",1,"","","","",NA,"","1","Since birth","cont treat","Soon after birth",""
37,"Adults","EF-Flexibility","EF-Flexibility-other","ES_medium","Palermo et al 2017/2020; De Felice et al 2018",2017,"WCST","","","N categories - correct","","","",3.9,"1.2000",37,"720.0000",NA,"",4.4,"0.9000",30,"","0.47",NA,-1,"-0.55","",1,"","","","",NA,"","1","Since birth","cont treat","Soon after birth",""
38,"Adults","EF-Flexibility","EF-Flexibility-other","ES_medium","Palermo et al 2017/2020; De Felice et al 2018",2017,"WCST","","","   N perseverative responses","","","",8.1,"5.1000",37,"720.0000",NA,"",6.8,"4.4000",30,"","-0.27",NA,1,"-0.29","",1,"","","","",NA,"","3","Since birth","cont treat","Soon after birth",""
29,"Adults","EF-Flexibility","EF-Flexibility-other","ES_medium","Pilotto et al 2021",2021,"TMT–B","","","Trail making B -Time (sec.)","","","",70,"25.6300",19,"890.0000",NA,"",41,"11.0000",25,"","-1.47",NA,1,"-2.59","",1,"","","","",NA,"","2","","cont treat","Within 1 month",""
39,"Adults","EF-Flexibility","EF-Flexibility-other","ES_medium","Ris et al 1994",2017,"WCST","","","   N perseverative responses","","","",21,"32.0000",25,"1332.0000",NA,"",12,"9.0000",15,"","-0.38",NA,1,"-0.98","",1,"","","","",NA,"","1","Since birth","cont treat","Soon after birth",""
20,"Adults","EF-Flexibility","EF-Flexibility-other","ES_medium","Romani et al 2020",2020,"Digit symbol coding","","","Digit symbol coding - % Error","","","",41.6,"12.0000",19,"1042.0000",NA,"",39.4,"9.1000",19,"","-0.21",NA,1,"-0.24","",1,"","","","",NA,"","1","Since birth","cont treat","Soon after birth",""
30,"Adults","EF-Flexibility","EF-Flexibility-other","ES_medium","Romani et al 2020",2020,"TMT–B","","","Trail making B -Time (sec.)","","difference scores are available","",79.8,"34.0000",19,"1042.0000",NA,"",54.4,"19.7000",19,"","-0.91",NA,1,"-1.26","",1,"","","","",NA,"","1","Since birth","cont treat","Soon after birth",""
40,"Adults","EF-Flexibility","EF-Flexibility-other","ES_medium","Romani et al 2020",2020,"WCST","","","N categories - correct","","","",4,"1.1000",19,"1042.0000",NA,"",4.1,"1.0000",19,"","0.10",NA,-1,"-0.10","",1,"","","","",NA,"","1","Since birth","cont treat","Soon after birth",""
41,"Adults","EF-Flexibility","EF-Flexibility-other","ES_medium","Romani et al 2020",2020,"WCST","","","   N perseverative responses","","","",7,"3.1000",19,"1042.0000",NA,"",7.8,"3.3000",19,"","0.25",NA,1,"0.24","",1,"","","","",NA,"","1","Since birth","cont treat","Soon after birth",""
42,"Adults","EF-Flexibility","EF-Flexibility-other","ES_medium","Smith et al 1996-High Phe",1996,"WCST","","","N categories - correct","","","",4.4,"1.7100",11,"1545.0000",NA,"",5.59,"1.3300",22,"","0.78",NA,-1,"-0.87","",1,"","","","",NA,"","1","--","--","--",""
43,"Adults","EF-Flexibility","EF-Flexibility-other","ES_medium","Smith et al 1996-High Phe",1996,"WCST","","","N perseverative responses","","","",23,"10.1000",11,"1545.0000",NA,"",9.68,"8.2300",22,"","-1.45",NA,1,"-1.58","",1,"","","","",NA,"","1","--","--","--",""
44,"Adults","EF-Flexibility","EF-Flexibility-other","ES_medium","Smith et al 1996-Low Phe",1996,"WCST","","","N categories - correct","","","",6,"1.3300",11,"566.0000",NA,"",5.59,"1.3300",22,"","-0.31",NA,-1,"0.30","",1,"","","","",NA,"","--","--","--","--",""
45,"Adults","EF-Flexibility","EF-Flexibility-other","ES_medium","Smith et al 1996-Low Phe",1996,"WCST","","","N perseverative responses","","","",7.6,"4.2900",11,"566.0000",NA,"",9.68,"8.2300",22,"","0.32",NA,1,"0.25","",1,"","","","",NA,"","--","--","--","--",""
31,"Adults","EF-Flexibility","EF-Flexibility-other","ES_medium","Sundermann et al 2020",2020,"TMT–B","","","Trail making B -Time (sec.)","","","",60.4,"43.5000",16,"926.2000",NA,"",53.25,"7.3750",17,"","-0.23",NA,1,"-0.95","",1,"","","","",NA,"","4","within 3 months","--","Within 3 months",""
47,"Children","EF-Flexibility","EF-Flexibility-other","ES_small","Anderson et al 2003/2008",2008,"Digit symbol coding","","","speed + accuracy","","The child is given a key in which digits are paired with simple shapes. The task is to draw each shape under its corresponding digit within a certain time limit - from WISC","",7.78,"2.8723",33,"",NA,"",10.48,"2.9155",34,"","0.93",NA,-1,"-0.92","",1,"","11.18","3.4","",10.3,"3.1","","","","",""
48,"Children","EF-Flexibility","EF-Flexibility-other","ES_small","Antshel & Waisbren 2003",2003,"Digit symbol coding","","","score","","The child is given a key in which digits are paired with simple shapes. The task is to draw each shape under its corresponding digit within a certain time limit - from WISC","",7.8,"2.8000",46,"490.3448",375.3257,"",10.3,"2.1000",18,"","1.01",NA,-1,"-1.18","",1,"","10.75","2.1","",13.1,"3.2","","","","",""
52,"Children","EF-Flexibility","EF-Flexibility-other","ES_small","Bisiacchi et al 2018",2018,"TMT–B","","","","","","",115,"45.9000",11,"743.1800",83.66,"",76.8,"17.6000",28,"","",NA,1,"-2.13","",1,"","13.0","2.5","",11.8,"2.5","","","","",""
59,"Children","EF-Flexibility","EF-Flexibility-other","ES_small","Gassio et al 2005",2005,"WCST","","","Perseverative Errors","","","",50,"11.0000",26,"489.0000",181,"",57,"7.0000",21,"","",NA,-1,"-0.98","",1,"","12.3","3.7","",11.8,"3.6","","","","",""
46,"Children","EF-Flexibility","EF-Flexibility-other","ES_small","Griffiths 1995",1995,"Design fluency","","","Number of non-repeated designs in 3 min","","","",11.9,"2.5600",10,"348.0000",NA,"",12.2,"2.3500",10,"","",NA,-1,"-0.12","",1,"","7.53","-","",7.59,"-","","median age 15 days (range 12-20)","","",""
50,"Children","EF-Flexibility","EF-Flexibility-other","ES_small","Jahja et al 2014",2014,"shifting attentional set-visual","","","SSV part3-part1 - flexibility - high phe group","","","",15.2,"15.9424",21,"590.0000",248,"",8.2,"9.1706",73,"","",NA,1,"-0.76","",1,"","10.6","2.5","",10.9,"2.2","","","","",""
53,"Children","EF-Flexibility","EF-Flexibility-other","ES_small","Leuzzi et al 2004",2004,"WCST","","","Perseverative Errors","","","",17.71,"11.6800",14,"491.0000",149.2,"",7.61,"3.1700",14,"","",NA,1,"-3.09","",1,"","10.8","1.25","",10.9,"1.3","","","","",""
54,"Children","EF-Flexibility","EF-Flexibility-other","ES_small","Leuzzi et al 2004",2004,"WCST","","","Categories","","","",5.07,"1.3200",14,"491.0000",149.2,"",6,"1.3000",14,"","",NA,-1,"-0.69","",1,"","10.8","1.25","",10.9,"1.3","","","","",""
55,"Children","EF-Flexibility","EF-Flexibility-other","ES_small","Smith et al 2000",2000,"WCST","","","Perseverative Errors","percentage perseverative errors","","",18.25,"8.0800",19,"777.2000",199.9,"",13.77,"7.6400",19,"","",NA,1,"-0.57","",1,"","9.4","2.9","",9.3,"2.9","","","","",""
56,"Children","EF-Flexibility","EF-Flexibility-other","ES_small","Smith et al 2000",2000,"WCST","","","Number of categories","number of categories","","",4.65,"1.4500",19,"777.2000",199.9,"",5.47,"1.0200",19,"","",NA,-1,"-0.79","",1,"","9.4","2.9","",9.3,"2.9","","","","",""
57,"Children","EF-Flexibility","EF-Flexibility-other","ES_small","Stemerdink et al 1999",1999,"WCST","","","Number of categories","","","",4.1,"1.9000",36,"455.0000",250,"",4.8,"2.0000",36,"","",NA,-1,"-0.35","",1,"","13.3","3","",13.2,"3.0","","","","",""
58,"Children","EF-Flexibility","EF-Flexibility-other","ES_small","Stemerdink et al 1999",1999,"WCST","","","percentage perseverative Errors","","","",11.6,"7.9000",36,"455.0000",250,"",7.8,"4.9000",36,"","",NA,-1,"0.77","",1,"","13.3","3","",13.2,"3.0","","","","",""
51,"Children","EF-Flexibility","EF-Flexibility-other","ES_small","Trimarco et al 2020",2020,"Switching combined ","","","The child listens to a series of words and touches the
appropriate circle (matching or contrasting) when he or she hears a
target word (description in paper??) Switching
involves rapidly saying the correct shape or
arrow direction if the object is colored white, or
saying the opposite shape or arrow direction if","scaled score (norm=10;3)","","From NespyII",7,"2.2500",15,"289.0000",82.8,"",10,"2.2500",14,"","",NA,-1,"-1.30","",1,"","","","",NA,"","","","","",""
60,"Children","EF-Flexibility","EF-Flexibility-other","ES_small","White et al 2001",2001,"WCST","","","Correct responses","","","",68.48,"14.0100",23,"496.4000",230,"",71.09,"9.8100",23,"","",NA,-1,"-0.26","",1,"","10.7","3.4","",11.1,"3.7","","","","",""
61,"Children","EF-Flexibility","EF-Flexibility-other","ES_small","White et al 2001",2001,"WCST","","","Perseverative Errors","","","",18.48,"18.8200",23,"496.4000",230,"",17.91,"13.4400",23,"","",NA,1,"-0.04","",1,"","10.7","3.4","",11.1,"3.7","","","","",""
66,"Mixed-age","EF-Flexibility","EF-Flexibility-other","","Gassio et al 2005",2005,"TMT–B","","","","","","",45,"13.0000",26,"489.0000",181,"",53,"11.0000",21,"","",NA,-1,"-0.72","",1,"","12.3","3.7","",11.8,"3.6","","","","",""
68,"Mixed-age","EF-Flexibility","EF-Flexibility-other","","Griffiths 1995",1995,"Design fluency","","","Number of non-repeated designs in 3 min","Visual matching-to-sample of complex drawings. First items from MFFT20 (Caims & Cammock 1978). - Identify from a group of 6 similar figures the one tht matches a given sample. It measures One-minute time-limit per figure. It is supposed to test speed of reflection and impulsivity.","","",18.2,"3.4300",10,"1014.0000",216,"",24.5,"3.4100",10,"","",NA,-1,"-1.77","",1,"","20.6","3.8","13.6-28.42",NA,"","","","","",""
67,"Mixed-age","EF-Flexibility","EF-Flexibility-other","","Luciana et al 2001",2001,"WCST","","","Average ES","","Set shifting task (analogous of WCST)","",7.925,"7.1505",18,NA,NA,"",7.15,"5.8900",16,"","",NA,1,"-0.13","#DIV/0!",1,"","17.88","2.74","",16.32,"2.92","","","","",""
62,"Mixed-age","EF-Flexibility","EF-Flexibility-other","","Van Zutphen et al 2007",2007,"Design Fluency","","","Design fluency empy dots","","From D-KEFS","",8.87,"2.5300",15,"660.0000",337,"",10,"3.0000",20,"","0.41",NA,-1,"-0.37","",1,"","14.8","3","",NA,"","","","","",""
63,"Mixed-age","EF-Flexibility","EF-Flexibility-other","","Van Zutphen et al 2007",2007,"Design Fluency","","","Design fluency filled dots","","From D-KEFS","",9.2,"2.0800",15,"660.0000",337,"",10,"3.0000",20,"","0.31",NA,-1,"-0.26","",1,"","14.8","3","",NA,"","","","","",""
64,"Mixed-age","EF-Flexibility","EF-Flexibility-other","","Van Zutphen et al 2007",2007,"Design Fluency","","","Percent Design Accuracy","","","",6.15,"3.8700",15,"660.0000",337,"",10,"3.0000",20,"","1.11",NA,-1,"-1.25","",1,"","14.8","3","",NA,"","","","","",""
65,"Mixed-age","EF-Flexibility","EF-Flexibility-other","","Van Zutphen et al 2007",2007,"TMT–B","","","TMT Numbe/letterr sequencing","","From D-KEFS","",8.07,"2.7400",15,"660.0000",337,"",10,"3.0000",20,"","",NA,-1,"-0.63","",1,"","14.8","3","",NA,"","","","","",""
70,"Adults","EF-Flexibility","EF-Flexibility-verbal","ES_medium","Aitkenhead et al 2021",2021,"Phonemic fluency","","","Letter fluency 'S' - N correct","","","",-0.44,"0.9700",150,"908.0000",NA,"",0,"1.0000",76,"","--",NA,-1,"-0.44","0.97",1,"","","","",NA,"","1","","-","",""
87,"Adults","EF-Flexibility","EF-Flexibility-verbal","ES_medium","Aitkenhead et al 2021",2021,"Semantic fluency","","","z score","","","",0.07,"1.0000",150,"908.0000",NA,"",0,"1.0000",76,"","--",NA,-1,"0.07","0.99",1,"","","","",NA,"","1","","-","",""
71,"Adults","EF-Flexibility","EF-Flexibility-verbal","ES_medium","Channon et al 2004",2004,"Phonemic fluency","","","Letter fluency - N correct","","","",8.01,"1.6400",20,"858.5000",NA,"",9.76,"2.5300",20,"","0.82",NA,-1,"-0.68","",1,"","","","",NA,"","2","Within 1 month","cont treat","Within 1 month",""
72,"Adults","EF-Flexibility","EF-Flexibility-verbal","ES_medium","Moyle et al 2007",2007,"Phonemic fluency","","","Phonemic fluency - N correct","","","",39,"13.9000",12,"-",NA,"",41,"11.1000",12,"","0.16",NA,-1,"-0.17","",1,"","","","",NA,"","1","From birth","cont treat, but off diet","Soon after birth",""
88,"Adults","EF-Flexibility","EF-Flexibility-verbal","ES_medium","Moyle et al 2007",2007,"Semantic fluency","",""," N correct","","","",21,"11.1000",12,"-",NA,"",23,"3.8000",12,"","0.24",NA,-1,"-0.51","",1,"","","","",NA,"","1","From birth","cont treat, but off diet","Soon after birth",""
73,"Adults","EF-Flexibility","EF-Flexibility-verbal","ES_medium","Palermo et al 2017/2020; De Felice et al 2018",2017,"Phonemic fluency","","","Letter fluency - N correct","","","",35.9,"11.4000",37,"720.0000",NA,"",41.8,"12.9000",30,"","0.48",NA,-1,"-0.45","",1,"","","","",NA,"","1","Since birth","cont treat","Soon after birth",""
100,"Adults","EF-Flexibility","EF-Flexibility-verbal","ES_medium","Palermo et al 2017/2020; De Felice et al 2018",2017,"Semantic fluency ","",""," N correct","","","",21.4,"6.2000",37,"720.0000",NA,"",25,"5.0000",30,"","0.64",NA,-1,"-0.71","",1,"","","","",NA,"","1","Since birth","cont treat","Soon after birth",""
74,"Adults","EF-Flexibility","EF-Flexibility-verbal","ES_medium","Pilotto et al 2021",2021,"Phonemic fluency","","","Phonemic fluency - N correct","","","",16,"8.0000",19,"890.0000",NA,"",21,"2.3600",25,"","0.85",NA,-1,"-2.08","",1,"","","","",NA,"","2","","cont treat","Within 1 month",""
89,"Adults","EF-Flexibility","EF-Flexibility-verbal","ES_medium","Pilotto et al 2021",2021,"Semantic fluency","",""," N correct","","","",25,"9.6100",19,"890.0000",NA,"",34,"4.7200",25,"","1.19",NA,-1,"-1.87","",1,"","","","",NA,"","2","","cont treat","Within 1 month",""
75,"Adults","EF-Flexibility","EF-Flexibility-verbal","ES_medium","Romani et al 2020",2020,"Phonemic fluency","","","Letter fluency - N correct","","","",39,"11.0000",19,"1042.0000",NA,"",47.5,"9.3000",19,"","0.83",NA,-1,"-0.89","",1,"","","","",NA,"","1","Since birth","cont treat","Soon after birth",""
101,"Adults","EF-Flexibility","EF-Flexibility-verbal","ES_medium","Romani et al 2020",2020,"Semantic fluency ","",""," N correct","","","",20.1,"4.8000",19,"1042.0000",NA,"",23.5,"3.6000",19,"","0.80",NA,-1,"-0.92","",1,"","","","",NA,"","1","Since birth","cont treat","Soon after birth",""
76,"Children","EF-Flexibility","EF-Flexibility-verbal","ES_small","Anderson et al 2002/2007",2002,"Phonemic fluency","","","Total words","COWAT","letters F,A,S","",21.86,"7.3800",36,"490.3448",375.3257,"",24.38,"5.3400",69,"","",NA,-1,"-0.47","",1,"","11.18","3.4","",10.29,"3.1","","","","",""
82,"Children","EF-Flexibility","EF-Flexibility-verbal","ES_small","Banerjee et al 2011",2011,"Phonemic fluency","","","Total words","","","",8,"3.4000",36,"508.5058",284.5211,"",10.3,"3.5000",41,"","",NA,-1,"-0.65","",1,"","12.2","3.9","",13.1,"3.2","","","","",""
97,"Children","EF-Flexibility","EF-Flexibility-verbal","ES_small","Banerjee et al 2011",2011,"Semantic fluency","","","Total words","","","",16.85,"5.5500",36,"508.5058",284.5211,"",17.85,"6.4500",41,"","",NA,-1,"-0.15","",1,"","12.2","3.9","",13.1,"3.2","","","","",""
77,"Children","EF-Flexibility","EF-Flexibility-verbal","ES_small","Bisiacchi et al 2018",2018,"Phonemic Fluency","","","Total words","","","",23.6,"8.0000",11,"743.1800",83.66,"",26.9,"9.4000",28,"","",NA,-1,"-0.34","",1,"","13.0","2.5","",11.8,"2.5","","","","",""
90,"Children","EF-Flexibility","EF-Flexibility-verbal","ES_small","Bisiacchi et al 2018",2018,"Semantic fluency","","","Total words","","","",49.6,"11.5000",11,"743.1800",83.66,"",53.5,"13.4000",28,"","",NA,-1,"-0.29","",1,"","13.0","2.5","",11.8,"2.5","","","","",""
85,"Children","EF-Flexibility","EF-Flexibility-verbal","ES_small","Griffiths 1995",1995,"Phonemic fluency ","","","Total words correct","F', 'A', 'S'","","",18.8,"8.9500",10,"348.0000",NA,"",19,"9.6300",10,"","",NA,-1,"-0.02","",1,"","7.53","-","",7.59,"-","","median age 15 days (range 12-20)","","",""
84,"Children","EF-Flexibility","EF-Flexibility-verbal","ES_small","Smith et al 2000",2000,"Phonemic fluency ","","","Total words","number of words generated (F, A, S)","","",19.79,"8.7400",19,"777.2000",199.9,"",20.68,"13.4400",19,"","",NA,-1,"-0.06","",1,"","9.4","2.9","",9.3,"2.9","","","","",""
69,"Children","EF-Flexibility","EF-Flexibility-verbal","ES_small","White et al 2001",2001,"Phonemic fluency","","","Total words","","","",4.17,"2.3500",23,"496.4000",230,"",6.43,"3.4500",23,"","",NA,-1,"-0.64","",1,"","10.7","3.4","",11.1,"3.7","","","","",""
98,"Children","EF-Flexibility","EF-Flexibility-verbal","ES_small","White et al 2001",2001,"Semantic fluency","","","Total words","","","",16.3,"5.1200",23,"496.4000",230,"",16.57,"6.9200",23,"","",NA,-1,"-0.04","",1,"","10.7","3.4","",11.1,"3.7","","","","",""
86,"Mixed-age","EF-Flexibility","EF-Flexibility-verbal","","Griffiths 1995",1995,"Phonemic fluency ","","","Total words correct","F', 'A', 'S'","","",33.8,"9.4300",10,"1014.0000",216,"",38.9,"8.6300",10,"","",NA,-1,"-0.57","",1,"","20.6","3.8","13.6-28.42",NA,"","","","","",""
78,"Mixed-age","EF-Flexibility","EF-Flexibility-verbal","","Van Zutphen et al 2007",2007,"Phonemic Fluency","","","Total words","","From D-KEFS","",10.47,"3.6400",15,"660.0000",337,"",10,"3.0000",20,"","",NA,-1,"0.15","",1,"","14.8","3","",NA,"","","","","",""
93,"Mixed-age","EF-Flexibility","EF-Flexibility-verbal","","Van Zutphen et al 2007",2007,"Semantic fluency","","","Total words","","From D-KEFS","",11,"3.9200",15,"660.0000",337,"",10,"3.0000",20,"","",NA,-1,"0.33","",1,"","14.8","3","",NA,"","","","","",""
171,"Adults","EF-Inhibitory control","EF-Inhibitory control","ES_small","Channon et al 2004",2004,"Hayling Sentence Completion B-accuracy","","","Hayling Sentence Completion Test B  - Correct completions per sec.","","","",0.57,"0.3200",20,"858.5000",NA,"",0.75,"0.5300",20,"","0.41",NA,-1,"-0.33","",1,"","","","",NA,"","2","Within 1 month","cont treat","Within 1 month",""
172,"Adults","EF-Inhibitory control","EF-Inhibitory control","ES_small","Channon et al 2005",2005,"Flanker task-INTERFERENCE","accuracy","accuracy","on diet, Incompatible condition","","","",97.65,"3.4100",25,"758.7900",NA,"",97.1,"2.8600",25,"","-0.17",NA,1,"-0.19","",1,"","","","",NA,"","","","","",""
173,"Adults","EF-Inhibitory control","EF-Inhibitory control","ES_small","Channon et al 2005",2005,"Flanker task-INTERFERENCE","speed","speed","Incompatible trials - Speed per item (sec.)","","","",0.47,"0.0500",25,"758.7900",NA,"",0.44,"0.0500",25,"","",NA,1,"-0.59","",1,"","","","",NA,"","","","","",""
174,"Adults","EF-Inhibitory control","EF-Inhibitory control","ES_small","Channon et al 2007 off diet",2007,"Flanker task-INTERFERENCE","accuracy","accuracy","Incompatible trials - Number correct","","","",97.05,"2.2800",25,"1285.6800",NA,"",97.22,"2.8200",45,"","",NA,-1,"-0.06","",1,"","","","",NA,"","","","","",""
175,"Adults","EF-Inhibitory control","EF-Inhibitory control","ES_small","Channon et al 2007 off diet",2007,"Flanker task-INTERFERENCE","speed","speed","Incompatible trials - Speed per item (sec.)","","","",0.52,"0.0800",25,"1286.6800",NA,"",0.46,"0.0600",45,"","",NA,1,"-0.99","",1,"","","","",NA,"","","","","",""
176,"Adults","EF-Inhibitory control","EF-Inhibitory control","ES_small","Christ et al 2023",2023,"Flanker ","","","T-score","Scores for the NIH Toolbox Flanker were created using a procedure analogous to the one used for scoring the NIH Toolbox DCCS. That is, a two-vector method incorporated accuracy and, for participants who maintained a high level of accuracy (> 80% correct)","NIH Toolbox Cognitive Battery","",40,"7.7000",40,"589.0000",444,"",43,"9.6000",32,NA,"",NA,-1,"-0.31","",1,"","11.18","3.4","",10.3,"3.1","","","","",""
183,"Adults","EF-Inhibitory control","EF-Inhibitory control","ES_small","Moyle et al 2006",2007,"Go-No-Go","accuracy","accuracy","false alarms","","","",33.3,"16.2963",9,"1000.0000",775.35,"",19.2,"10.3704",9,"","-1.03",NA,1,"-1.29","",1,"","","","",NA,"","1","","cont treat","Soon after birth",""
184,"Adults","EF-Inhibitory control","EF-Inhibitory control","ES_small","Moyle et al 2006",2007,"Go-No-Go","speed","speed","RT (only no go)","","","",316,"35.5556",9,"1000.0000",775.35,"",284,"15.5556",9,"","-1.17",NA,1,"-1.96","",1,"","","","",NA,"","--","","cont treat","Early treated",""
